country,region,continent,code,education,employment ,unemployment,income,homicide,mortality ,life,pollution,vote,broadband,rooms,social ,satisfaction
Germany,Brandenburg,Central Europe,DE4,92.2,76.5,4.6,20926,1.1,7.9,80.7,14.5,73.7,82.0,1.9,91.8,6.2
United Kingdom,South East England,British Isles,UKJ,85.1,76.7,3.4,23349,0.7,7.1,82.5,10.1,68.5,96.0,2.0,93.6,6.9
Germany,Saxony,Central Europe,DED,94.0,76.9,4.5,20685,0.9,7.8,81.1,15.7,75.4,86.0,2.0,94.6,6.2
Estonia,North Estonia,Eastern Europe,EE001,93.4,77.4,5.2,10523,3.1,8.7,78.7,6.7,69.1,89.6,1.5,90.5,5.4
Sweden,Upper Norrland,Scandinavia,SE33,87.1,77.5,6.1,20107,0.8,7.6,81.8,6.1,86.2,97.0,1.8,90.9,7.4
Germany,Baden-Württemberg,Central Europe,DE1,85.1,77.5,3.0,26052,0.7,7.3,82.0,14.1,78.3,92.0,1.7,93.9,6.9
Czech Republic,Prague,Western Europe,CZ01,97.5,78.1,1.8,18176,1.6,8.4,80.6,18.3,67.1,89.0,1.4,90.9,6.8
Sweden,Central Norrland,Scandinavia,SE32,85.6,78.1,6.5,19973,0.3,7.8,81.7,5.2,85.8,100.0,1.8,89.2,7.4
Sweden,West Sweden,Scandinavia,SE23,84.4,78.1,6.2,21193,0.7,7.3,82.4,8.2,85.8,94.0,1.7,93.3,7.4
Germany,Bavaria,Central Europe,DE2,87.2,78.3,2.4,26183,0.9,7.5,81.7,15.9,78.1,91.0,1.7,94.0,6.9
Sweden,Småland with Islands,Scandinavia,SE21,82.7,78.8,5.7,20052,0.4,7.1,82.7,10.2,86.8,89.0,1.9,92.9,7.6
Switzerland,Northwestern Switzerland ,Central Europe,CH03,87.0,79.3,4.6,24192,0.2,6.5,83.6,14.5,48.2,90.0,1.7,95.5,7.4
Sweden,Stockholm,Scandinavia,SE11,86.2,79.4,6.5,23982,1.1,7.1,82.9,8.9,85.7,96.0,1.6,91.6,7.4
Ireland,Southern and Eastern,British Isles,IE02,86.9,80.4,6.8,18312,0.9,7.6,81.7,7.0,65.2,90.0,2.0,97.2,7.0
Switzerland,Zurich,Central Europe,CH04,88.4,80.7,4.6,27214,0.7,6.3,83.9,14.3,47.2,91.0,1.6,93.5,7.7
Switzerland,Espace Mittelland,Central Europe,CH02,85.4,80.8,4.4,22233,0.4,6.8,83.1,12.9,48.5,89.0,1.7,95.3,7.5
Switzerland,Eastern Switzerland,Central Europe,CH05,85.8,81.6,3.9,22700,0.6,6.6,83.4,12.7,47.2,90.0,1.8,95.8,7.8
Switzerland,Central Switzerland,Central Europe,CH06,86.9,82.5,3.0,25241,0.3,6.2,84.0,12.8,53.0,90.0,1.7,95.6,7.8
Finland,Åland,Scandinavia,FI20,80.7,82.7,4.1,21754,0.0,7.9,80.9,5.6,46.2,0.0,2.2,93.7,7.5
Italy,Sardinia,Southern Europe,ITG2,60.8,88.9,17.6,16558,1.1,6.5,83.3,12.9,65.4,79.0,1.8,92.5,6.2
